
### start test phase for MLP_HL:

epochs/idx:   1/   1| loss: -0.004479| predLoss:  0.004| Sharpe: -0.936| gamma:  0.6020
epochs/idx:   1/   2| loss: -0.004029| predLoss:  0.004| Sharpe: -0.844| gamma:  0.6082
epochs/idx:   1/   3| loss: -0.003960| predLoss:  0.004| Sharpe: -0.826| gamma:  0.6125
epochs/idx:   1/   4| loss: -0.003986| predLoss:  0.004| Sharpe: -0.832| gamma:  0.6160
epochs/idx:   1/   5| loss: -0.004686| predLoss:  0.003| Sharpe: -0.973| gamma:  0.6151
epochs/idx:   1/   6| loss: -0.004608| predLoss:  0.003| Sharpe: -0.953| gamma:  0.6138
epochs/idx:   1/   7| loss: -0.004264| predLoss:  0.002| Sharpe: -0.882| gamma:  0.6127
epochs/idx:   1/   8| loss: -0.004546| predLoss:  0.002| Sharpe: -0.938| gamma:  0.6118
epochs/idx:   1/   9| loss: -0.004688| predLoss:  0.002| Sharpe: -0.969| gamma:  0.6132
epochs/idx:   1/  10| loss: -0.004700| predLoss:  0.002| Sharpe: -0.968| gamma:  0.6146
epochs/idx:   1/  11| loss: -0.004535| predLoss:  0.002| Sharpe: -0.937| gamma:  0.6160
epochs/idx:   1/  12| loss: -0.003254| predLoss:  0.002| Sharpe: -0.672| gamma:  0.6172
epochs/idx:   1/  13| loss: -0.001859| predLoss:  0.002| Sharpe: -0.390| gamma:  0.6183
epochs/idx:   1/  14| loss: -0.001050| predLoss:  0.002| Sharpe: -0.223| gamma:  0.6193
epochs/idx:   1/  15| loss: -0.001545| predLoss:  0.001| Sharpe: -0.319| gamma:  0.6203
epochs/idx:   1/  16| loss: -0.001789| predLoss:  0.002| Sharpe: -0.375| gamma:  0.6211
epochs/idx:   1/  17| loss: -0.000395| predLoss:  0.001| Sharpe: -0.084| gamma:  0.6218
epochs/idx:   1/  18| loss: -0.000819| predLoss:  0.001| Sharpe: -0.171| gamma:  0.6224
epochs/idx:   1/  19| loss: -0.000588| predLoss:  0.001| Sharpe: -0.126| gamma:  0.6229
epochs/idx:   1/  20| loss:  0.000384| predLoss:  0.001| Sharpe:  0.075| gamma:  0.6233
epochs/idx:   1/  21| loss:  0.000220| predLoss:  0.001| Sharpe:  0.041| gamma:  0.6169
epochs/idx:   1/  22| loss:  0.000592| predLoss:  0.001| Sharpe:  0.118| gamma:  0.6110
epochs/idx:   1/  23| loss:  0.000353| predLoss:  0.000| Sharpe:  0.070| gamma:  0.6057
epochs/idx:   1/  24| loss:  0.000596| predLoss:  0.002| Sharpe:  0.114| gamma:  0.6009
epochs/idx:   1/  25| loss:  0.000350| predLoss:  0.003| Sharpe:  0.057| gamma:  0.5951
epochs/idx:   1/  26| loss: -0.000955| predLoss:  0.005| Sharpe: -0.219| gamma:  0.5901
epochs/idx:   1/  27| loss: -0.001546| predLoss:  0.001| Sharpe: -0.323| gamma:  0.5856
epochs/idx:   1/  28| loss: -0.000717| predLoss:  0.001| Sharpe: -0.153| gamma:  0.5815
epochs/idx:   1/  29| loss: -0.000686| predLoss:  0.002| Sharpe: -0.150| gamma:  0.5755
epochs/idx:   1/  30| loss: -0.000751| predLoss:  0.001| Sharpe: -0.161| gamma:  0.5676
epochs/idx:   1/  31| loss: -0.000657| predLoss:  0.001| Sharpe: -0.140| gamma:  0.5603
epochs/idx:   1/  32| loss: -0.000578| predLoss:  0.004| Sharpe: -0.138| gamma:  0.5537
epochs/idx:   1/  33| loss: -0.000972| predLoss:  0.002| Sharpe: -0.207| gamma:  0.5477
epochs/idx:   1/  34| loss: -0.000778| predLoss:  0.001| Sharpe: -0.163| gamma:  0.5423
epochs/idx:   1/  35| loss: -0.000849| predLoss:  0.001| Sharpe: -0.180| gamma:  0.5373
epochs/idx:   1/  36| loss: -0.000340| predLoss:  0.002| Sharpe: -0.079| gamma:  0.5327
epochs/idx:   1/  37| loss: -0.000936| predLoss:  0.002| Sharpe: -0.202| gamma:  0.5286
epochs/idx:   1/  38| loss: -0.001053| predLoss:  0.002| Sharpe: -0.223| gamma:  0.5204
epochs/idx:   1/  39| loss: -0.001142| predLoss:  0.002| Sharpe: -0.243| gamma:  0.5130
epochs/idx:   1/  40| loss: -0.000722| predLoss:  0.002| Sharpe: -0.155| gamma:  0.5062
epochs/idx:   1/  41| loss: -0.001398| predLoss:  0.001| Sharpe: -0.291| gamma:  0.5000
epochs/idx:   1/  42| loss: -0.001655| predLoss:  0.001| Sharpe: -0.343| gamma:  0.4944
epochs/idx:   1/  43| loss: -0.002130| predLoss:  0.002| Sharpe: -0.443| gamma:  0.4904
epochs/idx:   1/  44| loss: -0.001711| predLoss:  0.001| Sharpe: -0.357| gamma:  0.4907
epochs/idx:   1/  45| loss: -0.002068| predLoss:  0.002| Sharpe: -0.430| gamma:  0.4910
epochs/idx:   1/  46| loss: -0.001957| predLoss:  0.001| Sharpe: -0.406| gamma:  0.4913
epochs/idx:   1/  47| loss: -0.002350| predLoss:  0.001| Sharpe: -0.484| gamma:  0.4916
epochs/idx:   1/  48| loss: -0.002046| predLoss:  0.002| Sharpe: -0.426| gamma:  0.4918
epochs/idx:   1/  49| loss: -0.001713| predLoss:  0.002| Sharpe: -0.357| gamma:  0.4920
epochs/idx:   1/  50| loss: -0.001536| predLoss:  0.002| Sharpe: -0.323| gamma:  0.4922
epochs/idx:   1/  51| loss: -0.001425| predLoss:  0.001| Sharpe: -0.294| gamma:  0.4924
epochs/idx:   1/  52| loss: -0.000043| predLoss:  0.001| Sharpe: -0.016| gamma:  0.4926
epochs/idx:   1/  53| loss:  0.000126| predLoss:  0.002| Sharpe:  0.016| gamma:  0.4927
epochs/idx:   1/  54| loss:  0.001443| predLoss:  0.002| Sharpe:  0.286| gamma:  0.4929
epochs/idx:   1/  55| loss:  0.001997| predLoss:  0.001| Sharpe:  0.402| gamma:  0.4930
epochs/idx:   1/  56| loss:  0.002307| predLoss:  0.002| Sharpe:  0.458| gamma:  0.4931
epochs/idx:   1/  57| loss:  0.002484| predLoss:  0.002| Sharpe:  0.497| gamma:  0.4932
epochs/idx:   1/  58| loss:  0.002869| predLoss:  0.003| Sharpe:  0.570| gamma:  0.4933
epochs/idx:   1/  59| loss:  0.003103| predLoss:  0.002| Sharpe:  0.623| gamma:  0.4934
epochs/idx:   1/  60| loss:  0.003125| predLoss:  0.002| Sharpe:  0.626| gamma:  0.4935
epochs/idx:   1/  61| loss:  0.003548| predLoss:  0.004| Sharpe:  0.705| gamma:  0.4935
epochs/idx:   1/  62| loss:  0.003006| predLoss:  0.002| Sharpe:  0.602| gamma:  0.4936
epochs/idx:   1/  63| loss:  0.002588| predLoss:  0.005| Sharpe:  0.502| gamma:  0.4936
epochs/idx:   1/  64| loss:  0.002378| predLoss:  0.004| Sharpe:  0.464| gamma:  0.4937
epochs/idx:   1/  65| loss:  0.001475| predLoss:  0.003| Sharpe:  0.287| gamma:  0.4937
epochs/idx:   1/  66| loss:  0.001190| predLoss:  0.003| Sharpe:  0.225| gamma:  0.4938
epochs/idx:   1/  67| loss:  0.000868| predLoss:  0.005| Sharpe:  0.153| gamma:  0.4938
epochs/idx:   1/  68| loss: -0.000042| predLoss:  0.005| Sharpe: -0.035| gamma:  0.4939
epochs/idx:   1/  69| loss:  0.000158| predLoss:  0.004| Sharpe:  0.010| gamma:  0.4939
epochs/idx:   1/  70| loss: -0.000317| predLoss:  0.003| Sharpe: -0.078| gamma:  0.4939
epochs/idx:   1/  71| loss: -0.001000| predLoss:  0.007| Sharpe: -0.238| gamma:  0.4939
epochs/idx:   1/  72| loss: -0.002931| predLoss:  0.003| Sharpe: -0.614| gamma:  0.4940
epochs/idx:   1/  73| loss: -0.002348| predLoss:  0.005| Sharpe: -0.506| gamma:  0.4940
epochs/idx:   1/  74| loss: -0.004451| predLoss:  0.003| Sharpe: -0.924| gamma:  0.4940
epochs/idx:   1/  75| loss: -0.004098| predLoss:  0.005| Sharpe: -0.861| gamma:  0.4940
epochs/idx:   1/  76| loss: -0.004122| predLoss:  0.002| Sharpe: -0.850| gamma:  0.4940
epochs/idx:   1/  77| loss: -0.004024| predLoss:  0.002| Sharpe: -0.830| gamma:  0.4941
epochs/idx:   1/  78| loss: -0.004025| predLoss:  0.002| Sharpe: -0.829| gamma:  0.4941
epochs/idx:   1/  79| loss: -0.001735| predLoss:  0.003| Sharpe: -0.369| gamma:  0.4941
epochs/idx:   1/  80| loss: -0.001161| predLoss:  0.002| Sharpe: -0.248| gamma:  0.4941
epochs/idx:   1/  81| loss: -0.000411| predLoss:  0.002| Sharpe: -0.092| gamma:  0.4941
epochs/idx:   1/  82| loss: -0.000058| predLoss:  0.003| Sharpe: -0.027| gamma:  0.4941
epochs/idx:   1/  83| loss: -0.000888| predLoss:  0.001| Sharpe: -0.186| gamma:  0.4941
epochs/idx:   1/  84| loss: -0.000381| predLoss:  0.003| Sharpe: -0.091| gamma:  0.4941
epochs/idx:   1/  85| loss: -0.000439| predLoss:  0.002| Sharpe: -0.099| gamma:  0.4941
epochs/idx:   1/  86| loss: -0.000462| predLoss:  0.002| Sharpe: -0.102| gamma:  0.4941
epochs/idx:   1/  87| loss: -0.000395| predLoss:  0.002| Sharpe: -0.093| gamma:  0.4941
